Date,Description,Amount,Reference,Type
01/15/2024,STAPLES STORE #1234,150.00,INV-001,Debit
01/16/2024,AWS AMAZON WEB SERV,299.99,AWS-JAN24,Debit
01/17/2024,UBER *TRIP,45.50,,Debit
01/18/2024,STARBUCKS #9876,67.80,,Debit
01/19/2024,MSFT *OFFICE365,22.00,MS-O365-01,Debit
01/20/2024,DELTA AIR LINES,523.00,,Debit
01/21/2024,OFFICE DEPOT #555,90.00,OD-4321,Debit
01/22/2024,GOOGLE *CLOUD,175.00,GCP-JAN,Debit
01/23/2024,FEDEX SHIP CENTER,34.25,FX-11223,Debit
01/24/2024,WEWORK MEMBER,450.00,WW-JAN24,Debit
01/26/2024,ADOBE *CREATIVE CL,54.99,ADOBE-CC,Debit
01/27/2024,COSTCO WHSE #123,123.45,,Debit
01/28/2024,ATT *WIRELESS,85.00,ATT-JAN,Debit
01/29/2024,LINKEDIN PREMIUM,29.99,LI-PREM-01,Debit
01/30/2024,HOME DEPOT #2345,78.50,HD-2468,Debit
01/25/2024,UNKNOWN VENDOR,99.99,,Debit
01/31/2024,BANK FEE,15.00,,Fee
